Date,BTC_hist_var,ETH_hist_var,SNT_hist_var,EUR_hist_var,BTC_model_var,ETH_model_var,SNT_model_var,EUR_model_var
2024-03-10,-0.04963045213693284,-0.06449350073399845,-0.07903571957388861,-0.007528177747996952,-0.047084280785228826,-0.05671280607717824,-0.08783737662220309,-0.0071547891017119175
2024-03-11,-0.04962182371648271,-0.06446595808030088,-0.07898299459995668,-0.007527514946783546,-0.00980540122247154,-0.013668404747096692,-0.08810190488391807,-0.007560362581689766
2024-03-12,-0.04961319529603258,-0.06443841542660331,-0.07893026962602474,-0.007526852145570139,-0.049602047954318634,-0.060171098995366865,-0.08999122131451791,-0.00741438868918164
2024-03-13,-0.04960456687558245,-0.06441087277290573,-0.07887754465209279,-0.007526189344356732,-0.030574581229857026,-0.038668330624452255,-0.0851450707148199,-0.006899985897388124
2024-03-14,-0.04959593845513232,-0.06438333011920816,-0.07882481967816087,-0.007525526543143326,-0.05880161778629925,-0.07189425988389161,-0.08851813987012433,-0.0071686316410320096
2024-03-15,-0.04958731003468219,-0.06435578746551057,-0.07877209470422891,-0.007524863741929919,-0.06932456719473863,-0.08601060590432882,-0.08116088206247139,-0.007508923564849046
2024-03-16,-0.04957868161423206,-0.064328244811813,-0.07952695678296154,-0.0075242009407165125,-0.06645381256190383,-0.08222232433507068,-0.08427959316490813,-0.006728407561355038
2024-03-17,-0.04957005319378193,-0.06430070215811542,-0.07979109988610121,-0.007523538139503106,-0.02617732485953677,-0.03284601506087319,-0.08403216423561768,-0.007486639513728389
2024-03-18,-0.04976472173002902,-0.06427315950441785,-0.07977067539369471,-0.007522875338289699,-0.0567803620698885,-0.07045211693880177,-0.09130966466529598,-0.007668539902990393
2024-03-19,-0.04974841117265524,-0.06424561685072028,-0.07975025090128823,-0.007522212537076293,-0.06996614763299423,-0.08913139982226212,-0.07731984491685899,-0.007108650869541754
2024-03-20,-0.049732100615281445,-0.06421807419702269,-0.08010194135934165,-0.007521549735862886,-0.007864095794859083,-0.007601384211458957,-0.09030255526151391,-0.00750009132719549
2024-03-21,-0.050054278258185265,-0.0647216867517272,-0.08009970431577011,-0.007520886934649479,-0.03827114694538425,-0.04716090024726214,-0.1031289802310305,-0.008006950360106924
2024-03-22,-0.050025690648009644,-0.06471384196357907,-0.08009746727219856,-0.007520224133436073,-0.05695170772185598,-0.07409131565766251,-0.07574102621927023,-0.007833976409904629
2024-03-23,-0.05000938009063585,-0.0646862993098815,-0.08007704277979207,-0.007519008227617987,-0.02407296719160325,-0.024500943293434274,-0.09832914832084651,-0.006823651033902873
2024-03-24,-0.04999306953326207,-0.06465875665618392,-0.08005661828738558,-0.007517792321799901,-0.024373594743258557,-0.029075385362752153,-0.0944167094165674,-0.007167617558082288
2024-03-25,-0.049976758975888276,-0.06463121400248634,-0.08003619379497909,-0.007516576415981815,-0.026132808068336396,-0.03471843070096574,-0.0864667538575594,-0.007838213144012882
2024-03-26,-0.049960448418514485,-0.06460367134878876,-0.08001576930257259,-0.0075153605101637285,-0.018852310511354813,-0.024377908977934334,-0.08396364629076349,-0.0074197627251446924
